student_id,query_index,query_type
11694,1,
11694,2,follow_up
11694,3,high_delegation
11694,4,follow_up
11694,5,task_clarification
11694,6,follow_up
11694,7,task_clarification
11694,8,follow_up
11694,9,follow_up
11694,10,high_delegation
11694,11,follow_up
11694,12,targeted
11694,13,follow_up
11694,14,follow_up
11694,15,validation
11694,16,conceptual
11695,1,high_delegation
11695,2,follow_up
11695,3,high_delegation
11695,4,follow_up
11695,5,high_delegation
11695,6,
11695,7,follow_up
11695,8,high_delegation
11695,9,high_delegation
11695,10,
11697,1,high_delegation
11697,2,high_delegation
11697,3,high_delegation
11697,4,follow_up
11697,5,high_delegation
11697,6,high_delegation
11697,7,follow_up
11697,8,targeted
11697,9,targeted
11698,1,task_clarification
11698,2,high_delegation
11698,3,follow_up
11698,4,high_delegation
11698,5,high_delegation
11698,6,targeted
11698,7,conceptual
11698,8,targeted
11698,9,Unknown
11699,1,high_delegation
11699,2,follow_up
11699,3,conceptual
11699,4,follow_up
11699,5,follow_up
11699,6,follow_up
11700,1,high_delegation
11700,2,conceptual
11701,1,conceptual
11701,2,high_delegation
11701,3,follow_up
11701,4,conceptual
11701,5,high_delegation
11701,6,validation
11701,7,targeted
11701,8,follow_up
11701,9,
11701,10,high_delegation
11701,11,high_delegation
11702,1,
11702,2,high_delegation
11702,3,high_delegation
11702,4,validation
11702,5,high_delegation
11702,6,follow_up
11702,7,
11703,1,task_clarification
11703,2,follow_up
11703,3,follow_up
11703,4,
11703,5,conceptual
11703,6,conceptual
11703,7,high_delegation
11703,8,validation
11703,9,
11703,10,targeted
11703,11,follow_up
11703,12,follow_up
11703,13,targeted
11704,1,
11704,2,targeted
11704,3,high_delegation
11712,1,
11712,2,conceptual
11712,3,follow_up
11712,4,high_delegation
11712,5,task_clarification
11712,6,high_delegation
11712,7,follow_up
11712,8,follow_up
11712,9,task_clarification
11712,10,task_clarification
11712,11,follow_up
11713,1,task_clarification
11713,2,high_delegation
11713,3,validation
11714,1,task_clarification
11714,2,high_delegation
11714,3,high_delegation
11714,4,follow_up
11714,5,high_delegation
11714,6,high_delegation
11714,7,high_delegation
11714,8,high_delegation
11714,9,high_delegation
11714,10,high_delegation
11714,11,validation
11714,12,high_delegation
11715,1,high_delegation
11715,2,follow_up
11715,3,high_delegation
11715,4,follow_up
11715,5,follow_up
11715,6,follow_up
11715,7,
11716,1,conceptual
11716,2,targeted
11716,3,follow_up
11718,1,conceptual
11718,2,high_delegation
11718,3,targeted
11718,4,follow_up
11718,5,high_delegation
11720,1,task_clarification
11720,2,follow_up
11720,3,targeted
11720,4,task_clarification
11720,5,conceptual
11720,6,conceptual
11720,7,conceptual
11720,8,task_clarification
11720,9,follow_up
11720,10,
11720,11,high_delegation
11720,12,high_delegation
11720,13,high_delegation
11720,14,high_delegation
11720,15,follow_up
11720,16,follow_up
11720,17,follow_up
11720,18,
11720,19,follow_up
11720,20,follow_up
11721,1,
11721,2,high_delegation
11722,1,conceptual
11722,2,task_clarification
11722,3,follow_up
11722,4,high_delegation
11722,5,high_delegation
11722,6,follow_up
11722,7,task_clarification
11722,8,follow_up
11722,9,follow_up
11722,10,follow_up
11722,11,
11722,12,task_clarification
11722,13,high_delegation
11722,14,task_clarification
11722,15,follow_up
11722,16,high_delegation
11723,1,task_clarification
11725,1,
11725,2,high_delegation
11725,3,high_delegation
11725,4,high_delegation
11726,1,conceptual
11726,2,targeted
11726,3,targeted
11727,1,conceptual
11727,2,follow_up
11727,3,conceptual
11732,1,conceptual
11732,2,conceptual
11732,3,high_delegation
11738,1,high_delegation
11739,1,high_delegation
11739,2,high_delegation
11739,3,follow_up
11739,4,high_delegation
11739,5,high_delegation
11739,6,follow_up
11739,7,follow_up
11739,8,targeted
11739,9,follow_up
11740,1,
11740,2,conceptual
11740,3,targeted
11740,4,high_delegation
11740,5,high_delegation
11740,6,task_clarification
11740,7,
11740,8,high_delegation
11741,1,
11741,2,follow_up
11741,3,high_delegation
11741,4,follow_up
11741,5,
11741,6,follow_up
11744,1,task_clarification
11744,2,task_clarification
11786,1,task_clarification
11786,2,follow_up
11788,1,task_clarification
11788,2,conceptual
11788,3,follow_up
11796,1,conceptual
11796,2,targeted
11796,3,follow_up
11796,4,high_delegation
11800,1,high_delegation
11800,2,follow_up
11800,3,high_delegation
11800,4,
11800,5,follow_up
11800,6,
11817,1,high_delegation
11817,2,high_delegation
11751,1,conceptual
11751,2,follow_up
