student_id,query_index,total_queries,is_first_query,time_since_session_start_s,time_since_last_query_s,pre_duration_s,pre_code_edits,pre_code_edit_rate,pre_chars_inserted,pre_chars_deleted,pre_code_deletes,pre_net_code_growth,pre_delete_type_ratio,pre_terminal_runs,pre_terminal_errors,pre_max_consecutive_errors,pre_mean_time_between_runs_s,pre_error_self_fix,pre_error_ai_fix,pre_error_reading_time_s,pre_error_to_edit_s,pre_failed_test_count,pre_failed_test_self_fix,pre_failed_test_ai_fix,pre_failed_test_to_edit_s,pre_longest_idle_s,thinking_time_s,pre_tab_switches,pre_tab_hidden_time_s,pre_response_reading_time_s,pre_chat_to_code_latency_s,pre_time_in_editor_s,pre_time_in_terminal_s,pre_time_in_chat_s,pre_time_in_task_s,pre_time_in_tests_s,implementing_time_s,debugging_time_s,testing_time_s,seeking_help_time_s,thinking_task_s,thinking_llm_s,thinking_error_s,thinking_code_s,query_length_chars,ai_response_length_chars,test_passed_at_query,test_total_at_query,post_response_implementing_s,post_response_debugging_s,post_response_thinking_s,post_response_seeking_help_s,post_response_testing_s,post_thinking_task_s,post_thinking_llm_s,post_thinking_error_s,post_thinking_code_s,post_code_edits,post_code_edit_rate,post_terminal_runs,post_terminal_errors,post_error_self_fix,task_completed,final_test_passed,final_test_total,session_duration_s,label_query_no_effort
11951,1,2,1,84.61,0.0,84.61,16,0.1891,12,3,3,9,0.1875,2,0,0,24.84,0,0,0.0,0.0,2,1,0,18.91,22.96,52.4,0,0.0,0.0,0.0,0.0,5.26,4.9,66.39,0.0,0.0,5.26,0.0,4.9,66.39,0.0,8.06,0.0,20,166,1,4,0.0,46.65,88.39,3.51,8.47,0,8.73,79.67,0.0,71,0.4829,8,0,0,0,1,4,514.17,0.0
11951,2,2,0,237.86,153.25,147.01,71,0.4829,53,16,16,37,0.2254,8,0,0,12.25,0,0,0.0,0.0,5,5,0,10.31,17.97,95.77,2,17.97,8.73,8.73,0.0,55.12,3.51,0.0,8.47,0.0,46.65,8.47,3.51,0.0,8.73,79.67,0.0,23,267,1,4,0.0,117.73,146.34,0.0,6.67,0,5.9,140.44,0.0,200,0.7387,17,2,2,0,1,4,514.17,
11952,1,5,1,58.95,0.0,58.95,2,0.0339,2,0,0,2,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,10.71,29.95,1,0.0,0.0,0.0,2.72,0.0,13.01,43.22,0.0,2.72,0.0,0.0,13.01,43.22,0.0,0.0,0.0,45,410,0,0,28.1,18.19,225.29,12.99,0.0,0,176.14,3.52,45.63,69,0.2425,3,3,2,0,0,4,751.73,0.0
11952,2,5,0,348.18,289.23,284.58,69,0.2425,51,18,18,33,0.2609,3,3,1,13.17,2,0,6.34,6.34,0,0,0,0.0,76.58,224.62,8,119.46,186.64,186.64,28.1,18.19,12.99,0.0,0.0,28.1,18.19,0.0,12.99,0.0,176.14,3.52,45.63,11,402,0,0,0.0,42.91,75.38,6.9,0.0,0,10.05,65.33,0.0,76,0.6071,8,0,0,0,0,4,751.73,0.0
11952,3,5,0,475.52,127.33,125.18,76,0.6071,56,20,20,36,0.2632,8,0,0,14.07,0,0,0.0,0.0,4,3,0,16.92,25.18,86.81,0,0.0,10.05,10.05,0.0,42.91,6.9,0.0,0.0,0.0,42.91,0.0,6.9,0.0,10.05,65.33,0.0,3,593,0,4,0.0,2.78,24.86,4.52,0.0,0,11.85,13.01,0.0,5,0.1555,2,0,0,0,0,4,751.73,0.0
11952,4,5,0,510.71,35.19,32.16,5,0.1555,2,3,3,-1,0.6,2,0,0,0.01,0,0,0.0,0.0,1,0,0,0.0,11.38,22.74,0,0.0,11.85,11.85,0.0,2.78,4.52,0.0,0.0,0.0,2.78,0.0,4.52,0.0,11.85,13.01,0.0,7,536,0,4,0.0,17.17,22.99,11.87,0.0,0,4.82,18.17,0.0,32,0.6151,4,0,0,0,0,4,751.73,0.0
11952,5,5,0,565.29,54.58,52.03,32,0.6151,30,2,2,28,0.0625,4,0,0,3.1,0,0,0.0,0.0,2,2,0,9.06,12.94,23.55,0,0.0,4.82,4.82,0.0,17.17,11.87,0.0,0.0,0.0,17.17,0.0,11.87,0.0,4.82,18.17,0.0,38,602,0,4,0.0,2.13,181.96,0.0,0.0,0,29.45,152.52,0.0,5,0.0272,0,0,0,0,0,4,751.73,
11954,1,1,1,169.37,0.0,169.37,60,0.3543,55,5,5,50,0.0833,1,1,1,0.0,0,0,0.0,0.0,0,0,0,0.0,30.75,120.51,1,0.0,0.0,0.0,44.37,0.0,16.15,87.07,0.0,44.37,0.0,0.0,16.15,87.07,0.0,0.0,21.78,32,234,0,0,0.0,76.86,170.64,0.0,0.0,0,25.03,145.62,0.0,96,0.3879,7,3,3,1,4,4,419.08,
11955,1,1,1,364.37,0.0,364.37,86,0.236,66,17,17,50,0.1977,8,4,1,19.51,2,0,3.83,5.07,4,4,0,27.95,52.05,272.67,14,123.12,0.0,0.0,21.91,37.38,13.81,51.01,0.0,21.91,37.38,0.0,13.81,51.01,0.0,100.36,139.9,22,267,1,4,0.0,66.66,396.74,0.0,4.41,0,82.22,314.52,0.0,79,0.1689,7,1,1,1,4,4,834.01,
11956,1,2,1,134.25,0.0,134.25,20,0.149,15,1,1,15,0.05,3,0,0,20.91,0,0,0.0,0.0,3,2,0,12.71,24.34,97.6,0,0.0,0.0,0.0,0.0,11.42,9.93,70.61,0.0,0.0,11.42,0.0,9.93,70.61,0.0,42.28,0.0,34,314,1,4,0.0,102.35,333.47,7.25,2.96,0,74.96,258.51,0.0,215,0.482,14,2,2,0,2,4,691.54,0.0
