student_id,query_index,total_queries,is_first_query,time_since_session_start_s,time_since_last_query_s,pre_duration_s,pre_code_edits,pre_code_edit_rate,pre_chars_inserted,pre_chars_deleted,pre_code_deletes,pre_net_code_growth,pre_delete_type_ratio,pre_terminal_runs,pre_terminal_errors,pre_max_consecutive_errors,pre_mean_time_between_runs_s,pre_error_self_fix,pre_error_ai_fix,pre_error_reading_time_s,pre_error_to_edit_s,pre_failed_test_count,pre_failed_test_self_fix,pre_failed_test_ai_fix,pre_failed_test_to_edit_s,pre_longest_idle_s,thinking_time_s,pre_tab_switches,pre_tab_hidden_time_s,pre_response_reading_time_s,pre_chat_to_code_latency_s,pre_time_in_editor_s,pre_time_in_terminal_s,pre_time_in_chat_s,pre_time_in_task_s,pre_time_in_tests_s,implementing_time_s,debugging_time_s,testing_time_s,seeking_help_time_s,thinking_task_s,thinking_llm_s,thinking_error_s,thinking_code_s,query_length_chars,ai_response_length_chars,test_passed_at_query,test_total_at_query,post_response_implementing_s,post_response_debugging_s,post_response_thinking_s,post_response_seeking_help_s,post_response_testing_s,post_thinking_task_s,post_thinking_llm_s,post_thinking_error_s,post_thinking_code_s,post_code_edits,post_code_edit_rate,post_terminal_runs,post_terminal_errors,post_error_self_fix,task_completed,final_test_passed,final_test_total,session_duration_s,label_query_no_effort
12196,1,1,1,180.58,0.0,180.58,151,0.8362,144,4,4,140,0.0265,2,2,1,8.92,1,0,6.38,6.38,0,0,0,0.0,46.8,108.81,0,0.0,0.0,0.0,42.9,6.45,18.57,78.21,0.0,42.9,6.45,0.0,18.57,78.21,0.0,0.0,34.47,94,200,0,0,0.0,4.32,549.25,0.0,0.0,0,10.98,538.27,0.0,3,0.0054,1,0,0,1,3,3,735.81,
12200,1,1,1,280.3,0.0,280.3,210,0.7492,177,33,33,144,0.1571,1,0,0,0.0,0,0,0.0,0.0,1,0,0,0.0,55.64,140.21,1,0.0,0.0,0.0,122.39,0.0,5.92,98.73,0.0,122.39,0.0,0.0,5.92,98.73,0.0,0.0,53.25,27,138,0,3,0.0,6.93,194.45,0.0,0.0,0,7.72,186.73,0.0,17,0.0844,1,0,0,1,3,3,482.81,
12201,1,3,1,187.12,0.0,187.12,100,0.5344,83,13,13,71,0.13,7,7,1,16.66,4,0,5.7,8.07,0,0,0,0.0,12.34,114.96,0,0.0,0.0,0.0,17.13,58.65,6.89,50.72,1.94,17.13,56.71,1.94,6.89,50.72,0.0,30.53,23.2,38,610,0,0,0.0,4.31,24.67,4.15,0.0,0,6.14,18.53,0.0,21,0.6339,2,2,0,0,0,0,419.66,0.0
12201,2,3,0,223.28,36.16,33.13,21,0.6339,11,10,10,1,0.4762,2,2,1,0.64,0,0,0.63,0.0,0,0,0,0.0,14.76,18.77,0,0.0,6.14,6.14,0.0,4.31,4.15,0.0,0.0,0.0,4.31,0.0,4.15,0.0,6.14,18.53,0.0,28,439,0,0,0.0,26.29,27.78,3.37,0.0,0,11.6,16.18,0.0,22,0.383,1,1,1,0,0,0,419.66,0.0
12201,3,3,0,283.46,60.18,57.44,22,0.383,19,1,1,18,0.0455,1,1,1,0.0,1,0,7.37,7.37,0,0,0,0.0,12.14,36.39,0,0.0,11.6,11.6,0.0,26.29,3.37,0.0,0.0,0.0,26.29,0.0,3.37,0.0,11.6,16.18,0.0,9,375,0,0,0.0,7.7,124.91,0.0,0.0,0,8.93,115.98,0.0,13,0.098,0,0,0,0,0,0,419.66,
12202,1,1,1,96.96,0.0,96.96,62,0.6394,54,8,8,46,0.129,1,1,1,0.0,0,0,0.0,0.0,0,0,0,0.0,8.7,37.17,14,15.77,0.0,0.0,32.66,2.2,3.47,30.27,2.2,32.66,0.0,2.2,3.47,30.27,0.0,0.0,28.36,20,302,0,0,0.0,71.07,280.74,0.0,0.0,0,27.62,253.12,0.0,129,0.3667,1,0,0,1,3,3,452.74,
12203,1,4,1,158.39,0.0,158.39,82,0.5177,76,5,5,71,0.061,1,1,1,0.0,1,0,32.9,32.9,0,0,0,0.0,16.89,82.43,0,0.0,0.0,0.0,41.79,0.0,16.37,39.65,0.0,41.79,0.0,0.0,16.37,39.65,0.0,0.0,60.58,38,157,0,0,0.0,0.0,7.23,34.44,0.0,0,7.23,0.0,0.0,0,0.0,0,0,0,0,0,0,351.04,1.0
12203,2,4,0,201.63,43.25,41.67,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,12.64,29.22,0,0.0,41.67,0.0,0.0,0.0,34.44,0.0,0.0,0.0,0.0,0.0,34.44,0.0,7.23,0.0,0.0,45,280,0,0,0.0,0.0,22.17,4.55,0.0,0,22.17,0.0,0.0,0,0.0,0,0,0,0,0,0,351.04,1.0
12203,3,4,0,230.01,28.37,26.71,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,18.69,22.17,0,0.0,26.71,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,4.55,0.0,22.17,0.0,0.0,19,288,0,0,0.0,0.0,12.13,4.52,0.0,0,12.13,0.0,0.0,0,0.0,0,0,0,0,0,0,351.04,1.0
12203,4,4,0,248.57,18.57,16.65,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,8.33,12.13,0,0.0,16.65,0.0,0.0,0.0,4.52,0.0,0.0,0.0,0.0,0.0,4.52,0.0,12.13,0.0,0.0,9,230,0,0,0.0,18.69,75.85,6.72,0.0,0,56.5,19.34,0.0,35,0.3456,2,2,1,0,0,0,351.04,
