student_id,window_start_s,window_end_s,code_events,terminal_runs,terminal_errors,test_results,query_count,event_density,longest_idle_s,thinking_time_s,cum_code_rate,cum_query_rate,query_count_so_far,time_since_session_start_s,net_code_growth,delete_ratio,time_since_last_query_s,error_self_fix,current_state,prev_state,segments_in_window,pct_thinking,pct_implementing,pct_debugging,pct_seekingHelp,pct_testing,label_query_imminence_5s,label_query_imminence_10s,label_query_imminence_15s,label_query_imminence_30s,label_query_imminence_45s,label_query_imminence_60s,label_time_to_next_query_s,label_next_state,label_next_thinking_subtype,label_next_3_states,label_next_5_states
11951,0.0,30.0,0,0,0,0,0,0.3667,6.16,12.2,0.0,0.0,0,30.0,0,0.0,30.0,0,thinking,,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,54.61,debugging,,"debugging,thinking,seekingHelp","debugging,thinking,seekingHelp,thinking,debugging"
11951,5.0,35.0,0,0,0,0,0,0.3333,6.16,6.16,0.0,0.0,0,35.0,0,0.0,35.0,0,thinking,,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,49.61,debugging,,"debugging,thinking,seekingHelp","debugging,thinking,seekingHelp,thinking,debugging"
11951,10.0,40.0,0,0,0,0,0,0.2333,6.16,6.16,0.0,0.0,0,40.0,0,0.0,40.0,0,thinking,,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,44.61,debugging,,"debugging,thinking,seekingHelp","debugging,thinking,seekingHelp,thinking,debugging"
11951,15.0,45.0,0,0,0,0,0,0.1333,2.32,0.0,0.0,0.0,0,45.0,0,0.0,45.0,0,thinking,,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,39.61,debugging,,"debugging,thinking,seekingHelp","debugging,thinking,seekingHelp,thinking,debugging"
11951,20.0,50.0,0,1,0,1,0,0.1667,22.96,22.96,0.0,0.0,0,50.0,0,0.0,50.0,0,thinking,,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,34.61,debugging,,"debugging,thinking,seekingHelp","debugging,thinking,seekingHelp,thinking,debugging"
11951,25.0,55.0,0,1,0,1,0,0.1,0.02,0.0,0.0,0.0,0,55.0,0,0.0,55.0,0,thinking,,1,1.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,29.61,debugging,,"debugging,thinking,seekingHelp","debugging,thinking,seekingHelp,thinking,debugging"
11951,30.0,60.0,0,1,0,1,0,0.2,9.84,9.84,0.0,0.0,0,60.0,0,0.0,60.0,0,thinking,,1,1.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,24.61,debugging,,"debugging,thinking,seekingHelp","debugging,thinking,seekingHelp,thinking,debugging"
11951,35.0,65.0,0,1,0,1,0,0.3667,9.84,9.84,0.0,0.0,0,65.0,0,0.0,65.0,0,thinking,,1,1.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,19.61,debugging,,"debugging,thinking,seekingHelp","debugging,thinking,seekingHelp,thinking,debugging"
11951,40.0,70.0,13,1,0,1,0,0.8333,9.84,9.84,0.1857,0.0,0,70.0,6,0.25,70.0,0,debugging,thinking,2,0.5,0.0,0.5,0.0,0.0,0,0,1,1,1,1,14.61,thinking,thinking-error,"thinking,seekingHelp,thinking","thinking,seekingHelp,thinking,debugging,thinking"
11951,45.0,75.0,16,2,0,2,0,1.0333,9.84,9.84,0.2133,0.0,0,75.0,9,0.2,75.0,0,thinking,debugging,3,0.6667,0.0,0.3333,0.0,0.0,0,1,1,1,1,1,9.61,seekingHelp,,"seekingHelp,thinking,debugging","seekingHelp,thinking,debugging,thinking,debugging"
11951,85.0,115.0,2,0,0,0,0,0.1333,8.73,8.73,0.1565,0.0087,1,115.0,2,0.0,30.39,0,thinking,debugging,4,0.5,0.0,0.25,0.25,0.0,0,0,0,0,0,0,122.86,debugging,,"debugging,thinking,debugging","debugging,thinking,debugging,thinking,debugging"
11951,90.0,120.0,13,0,0,0,0,0.4667,16.29,25.02,0.2417,0.0083,1,120.0,7,0.2308,35.39,0,debugging,thinking,5,0.4,0.0,0.4,0.2,0.0,0,0,0,0,0,0,117.86,thinking,thinking-error,"thinking,debugging,thinking","thinking,debugging,thinking,debugging,testing"
11951,95.0,125.0,16,0,0,0,0,0.5333,16.29,16.29,0.256,0.008,1,125.0,10,0.1875,40.39,0,thinking,debugging,5,0.6,0.0,0.4,0.0,0.0,0,0,0,0,0,0,112.86,debugging,,"debugging,thinking,debugging","debugging,thinking,debugging,testing,debugging"
11951,100.0,130.0,18,0,0,0,0,0.6,16.29,22.74,0.2692,0.0077,1,130.0,10,0.2222,45.39,0,thinking,debugging,6,0.5,0.0,0.5,0.0,0.0,0,0,0,0,0,0,107.86,debugging,,"debugging,testing,debugging","debugging,testing,debugging,testing,debugging"
11951,105.0,135.0,17,0,0,0,0,0.5667,6.45,6.45,0.2593,0.0074,1,135.0,9,0.2353,50.39,0,thinking,debugging,5,0.6,0.0,0.4,0.0,0.0,0,0,0,0,0,0,102.86,debugging,,"debugging,testing,debugging","debugging,testing,debugging,testing,debugging"
11951,110.0,140.0,20,1,0,1,0,0.8,6.45,12.53,0.2714,0.0071,1,140.0,12,0.2,55.39,0,testing,debugging,7,0.4286,0.0,0.4286,0.0,0.1429,0,0,0,0,0,0,97.86,debugging,,"debugging,testing,debugging","debugging,testing,debugging,thinking,debugging"
11951,115.0,145.0,29,1,0,1,0,1.1667,6.45,12.53,0.3241,0.0069,1,145.0,19,0.1724,60.39,0,debugging,testing,8,0.375,0.0,0.5,0.0,0.125,0,0,0,0,0,0,92.86,testing,,"testing,debugging,thinking","testing,debugging,thinking,debugging,thinking"
11951,120.0,150.0,21,3,0,2,0,1.1333,6.45,12.53,0.3333,0.0067,1,150.0,13,0.1579,65.39,0,debugging,testing,9,0.2222,0.0,0.5556,0.0,0.2222,0,0,0,0,0,0,87.86,thinking,thinking-error,"thinking,debugging,thinking","thinking,debugging,thinking,debugging,thinking"
11951,125.0,155.0,18,4,0,3,0,1.1667,6.08,6.08,0.3226,0.0065,1,155.0,10,0.1875,70.39,0,thinking,debugging,9,0.3333,0.0,0.4444,0.0,0.2222,0,0,0,0,0,0,82.86,debugging,,"debugging,thinking,debugging","debugging,thinking,debugging,thinking,debugging"
